Rating,Current Ratio,Debt/Equity Ratio,Gross Margin,EBITDA Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year Month Day,Rating Agency_DBRS,Rating Agency_Egan-Jones Ratings Company,Rating Agency_Fitch Ratings,Rating Agency_HR Ratings de Mexico S.A. de C.V.,"Rating Agency_Japan Credit Rating Agency,Ltd.",Rating Agency_Moody's Investors Service,Rating Agency_Standard & Poor's Ratings Services,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils
2,0.045401585161893576,0.8836200046417542,0.6561496984292747,0.5837042012610951,0.6695313624667719,0.6339397593290945,0.6166139785756655,0.5888003085721681,0.6300941688009417,0.2513392105370951,0.5561088658513822,20101105,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.04060539379798773,0.8834543647783202,0.49871539396006054,0.5668107603400162,0.6589866750255552,0.8947770525194272,0.6165161192437685,0.5875386295602584,0.6330395838303959,0.2579072253517394,0.5645407890404294,20101123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0.06985154224394505,0.8835464202418869,0.5145515867095757,0.567801475150098,0.6605653192426354,0.7126454832455497,0.6157808707387262,0.5870644228061135,0.6209188487091886,0.2553384362861334,0.5606436147120324,20100601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0.02207545889758391,0.8841136857988104,0.678346582553654,0.5897428806952584,0.6705646081274318,0.5671091834296688,0.6168000616068354,0.5852162148968728,0.6266005412660055,0.24624071976425504,0.5501206987313525,20101111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,0.032918508992121384,0.8838781197656572,0.5070885104750538,0.5644468248926635,0.6560611691522323,0.8235841812133775,0.6159006356948759,0.5870833425533811,0.6203942312039423,0.24256142136627454,0.5432646752249862,20101103,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.06358640666157354,0.8835832424273136,0.644709724856674,0.5729605147700392,0.6579606824246221,0.5682100537193038,0.615518068833396,0.5868955673035813,0.6174840436748404,0.24287331706835175,0.5487218098727578,20100715,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0.06253631802347362,0.8835892994969033,0.6687384113723066,0.5803151007615512,0.663006919892005,0.703923458310302,0.6159918490090356,0.5871262560371793,0.623104191231042,0.24970369908302664,0.5608244006484804,20101207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0.08010760458853339,0.8871007806423251,0.5514423179386628,0.5741027797483248,0.6567122101003271,0.7802163592157998,0.6174789173396625,0.5732453356632133,0.6195915061959151,0.25913312270780087,0.5673247246789582,20101123,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0.025110687011642416,0.8839284953939283,0.5376915453634833,0.5948134001863712,0.6538545045679297,0.3136400132009731,0.6153044398076568,0.586586196180838,0.6149077336490774,0.2554206268273675,0.5359455712688782,20101130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.03313973553104693,0.883893892134985,0.7554240105709598,0.5937995125676955,0.6691389088654621,0.35221126420886173,0.6158701164818452,0.5870192672297805,0.6201137312011373,0.25363278176430165,0.5529428049504307,20101207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0.22847392034074787,0.8835646514216421,0.7675390550073528,0.6130741912998772,0.6901794044323447,0.3228345393314731,0.6160881452150503,0.5872169478436152,0.6245530562455306,0.24552884794294746,0.5502981290123677,20101203,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.05764868635681187,0.8835085185787115,0.8943058545214295,0.6235980450800729,0.7014158130262114,0.5253341613391834,0.617535178940475,0.5889996080102772,0.6452793664527937,0.24606482665158147,0.551046859630836,20101123,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.017618481560030562,0.8870196398982172,0.5924516740904925,0.6068311276939162,0.6697117429086755,0.27862329007865083,0.6170212439191807,0.5823492352770337,0.6190791811907919,0.2798622732832819,0.5693897111409858,20100914,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.017618481560030562,0.8870196398982172,0.5924516740904925,0.6068311276939162,0.6697117429086755,0.27862329007865083,0.6170212439191807,0.5823492352770337,0.6190791811907919,0.2798622732832819,0.5693897111409858,20101216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
