Rating Agency,Rating,Sector,Current Ratio,Debt/Equity Ratio,Gross Margin,EBITDA Margin,Net Profit Margin,Asset Turnover,ROI - Return On Investment,Operating Cash Flow Per Share
Standard & Poor's Ratings Services,2,Manuf,0.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,2,Shops,0.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0
Standard & Poor's Ratings Services,2,NoDur,0.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,1,Durbl,0.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,0,NoDur,0.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,0,Other,0.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,0,Other,0.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,0,Utils,0.0,4.0,4.0,3.0,3.0,0.0,3.0,1.0
Standard & Poor's Ratings Services,1,Manuf,0.0,4.0,3.0,2.0,3.0,0.0,3.0,1.0
Standard & Poor's Ratings Services,0,Manuf,0.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,1,NoDur,0.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,2,Telcm,0.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0
Standard & Poor's Ratings Services,2,Other,0.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,1,BusEq,0.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,3,Other,0.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,1,Manuf,0.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,2,Money,0.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0
Standard & Poor's Ratings Services,3,Other,1.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0
Standard & Poor's Ratings Services,3,Other,0.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0
Standard & Poor's Ratings Services,1,Enrgy,0.0,4.0,3.0,3.0,3.0,0.0,3.0,1.0
Standard & Poor's Ratings Services,0,Other,0.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0
Standard & Poor's Ratings Services,0,Hlth,0.0,4.0,4.0,2.0,3.0,1.0,3.0,1.0
Standard & Poor's Ratings Services,3,Durbl,0.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0
Standard & Poor's Ratings Services,2,BusEq,0.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,2,Telcm,0.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,2,NoDur,0.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0
Standard & Poor's Ratings Services,1,NoDur,0.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0
Standard & Poor's Ratings Services,0,NoDur,0.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0
